prod_1_hydro_4	0.0	0.0	0
debit_1_hydro_4	0.0	0.0	0
debit_gradient_max1_hydro_4	-3333.3	3333.3	3333.3
debit_gradient_min1_hydro_4	3333.3	-3333.3	-3333.3
level_1_hydro_4_level_0	0.0	0.0	0
peaks1_1_hydro_4_level_0	0.0	0.0	-1
peaks2_1_hydro_4_level_0	-1.0	1.0	0
level_1_hydro_4_level_1	0.0	0.0	0
peaks1_1_hydro_4_level_1	0.0	0.0	-1
peaks2_1_hydro_4_level_1	-1.0	1.0	0
level_1_hydro_4_level_2	0.0	0.0	0
peaks1_1_hydro_4_level_2	0.0	0.0	-1
peaks2_1_hydro_4_level_2	-1.0	1.0	0
level_1_hydro_4_level_3	0.0	0.0	0
peaks1_1_hydro_4_level_3	0.0	0.0	-1
peaks2_1_hydro_4_level_3	-1.0	1.0	0
prod_1_hydro_5	0.0	0.0	0
debit_1_hydro_5	0.0	0.0	0
debit_gradient_max1_hydro_5	-3.334	3.334	3.334
debit_gradient_min1_hydro_5	3333.3	-3333.3	-3333.3
level_1_hydro_5_level_0	0.0	0.0	0
peaks1_1_hydro_5_level_0	1.0	-1.0	-1
peaks2_1_hydro_5_level_0	0.0	0.0	0
level_1_hydro_5_level_1	0.0	0.0	0
peaks1_1_hydro_5_level_1	1.0	-1.0	-1
peaks2_1_hydro_5_level_1	0.0	0.0	0
level_1_hydro_5_level_2	-1.0	1.0	0
peaks1_1_hydro_5_level_2	1.0	-1.0	-1
peaks2_1_hydro_5_level_2	0.0	0.0	0
level_1_hydro_5_level_3	0.0	0.0	0
peaks1_1_hydro_5_level_3	1.0	-1.0	-1
peaks2_1_hydro_5_level_3	0.0	0.0	0
volume_1_reservoir_0	0.0	0.0	3600
volume_max1_reservoir_0	-100304488.0	100304488.0	191062496
volume_min1_reservoir_0	90758008.0	-90758008.0	0
volume_1_reservoir_1	0.0	0.0	720.0000108
volume_max1_reservoir_1	-665388.6199892	665388.6199892	2884300
volume_min1_reservoir_1	1039911.3800108	-1039911.3800108	1179000
volume_1_reservoir_2	0.0	0.0	1440.0000216
volume_max1_reservoir_2	-37256557.9999784	37256557.9999784	49458000
volume_min1_reservoir_2	10356442.0000216	-10356442.0000216	1845000
volume_1_reservoir_3	0.0	0.0	0
volume_max1_reservoir_3	-16726974.0	16726974.0	35380000
volume_min1_reservoir_3	17413026.0	-17413026.0	1240000
prod_2_hydro_0	0.0	0.0	0
debit_2_hydro_0	0.0	0.0	0
debit_gradient_max2_hydro_0	-3330.9	3330.9000000000024	3333.3
debit_gradient_min2_hydro_0	3330.9	-3330.9000000000024	-3333.3
level_2_hydro_0_level_0	0.0	0.0	0
peaks1_2_hydro_0_level_0	0.0	0.0	-1
peaks2_2_hydro_0_level_0	-1.0	1.0	0
prod_2_hydro_1	0.0	0.0	0
debit_2_hydro_1	0.0	0.0	0
debit_gradient_max2_hydro_1	-2.0	2.0	2.0
debit_gradient_min2_hydro_1	2.0	-2.0	-2.0
level_2_hydro_1_level_0	0.0	0.0	0
peaks1_2_hydro_1_level_0	1.0	-1.0	-1
peaks2_2_hydro_1_level_0	0.0	0.0	0
level_2_hydro_1_level_1	0.0	0.0	0
peaks1_2_hydro_1_level_1	1.0	-1.0	-1
peaks2_2_hydro_1_level_1	0.0	0.0	0
level_2_hydro_1_level_2	0.0	0.0	0
peaks1_2_hydro_1_level_2	1.0	-1.0	-1
peaks2_2_hydro_1_level_2	0.0	0.0	0
prod_2_hydro_2	0.0	0.0	0
debit_2_hydro_2	0.0	0.0	0
debit_gradient_max2_hydro_2	-3333.3	3333.3	3333.3
debit_gradient_min2_hydro_2	3333.3	-3333.3	-3333.3
level_2_hydro_2_level_0	0.0	0.0	0
peaks1_2_hydro_2_level_0	0.0	0.0	-1
peaks2_2_hydro_2_level_0	-1.0	1.0	0
prod_2_hydro_3	0.0	0.0	0
debit_2_hydro_3	0.0	0.0	-0.0
debit_gradient_max2_hydro_3	-30.0	30.0	30.0
debit_gradient_min2_hydro_3	15.0	-15.0	-15.0
level_2_hydro_3_level_0	0.0	0.0	0
peaks1_2_hydro_3_level_0	1.0	-1.0	-1
peaks2_2_hydro_3_level_0	0.0	0.0	0
level_2_hydro_3_level_1	0.0	0.0	0
peaks1_2_hydro_3_level_1	1.0	-1.0	-1
peaks2_2_hydro_3_level_1	0.0	0.0	0
level_2_hydro_3_level_2	0.0	0.0	0
peaks1_2_hydro_3_level_2	1.0	-1.0	-1
peaks2_2_hydro_3_level_2	0.0	0.0	0
level_2_hydro_3_level_3	0.0	0.0	0
peaks1_2_hydro_3_level_3	1.0	-1.0	-1
peaks2_2_hydro_3_level_3	0.0	0.0	0
level_2_hydro_3_level_4	0.0	0.0	0
peaks1_2_hydro_3_level_4	1.0	-1.0	-1
peaks2_2_hydro_3_level_4	0.0	0.0	0
level_2_hydro_3_level_5	0.0	0.0	0
peaks1_2_hydro_3_level_5	1.0	-1.0	-1
peaks2_2_hydro_3_level_5	0.0	0.0	0
prod_2_hydro_4	0.0	0.0	0
debit_2_hydro_4	0.0	0.0	0
debit_gradient_max2_hydro_4	-3333.3	3333.3	3333.3
debit_gradient_min2_hydro_4	3333.3	-3333.3	-3333.3
level_2_hydro_4_level_0	0.0	0.0	0
peaks1_2_hydro_4_level_0	1.0	-1.0	-1
peaks2_2_hydro_4_level_0	0.0	0.0	0
level_2_hydro_4_level_1	0.0	0.0	0
peaks1_2_hydro_4_level_1	1.0	-1.0	-1
peaks2_2_hydro_4_level_1	0.0	0.0	0
level_2_hydro_4_level_2	0.0	0.0	0
peaks1_2_hydro_4_level_2	1.0	-1.0	-1
peaks2_2_hydro_4_level_2	0.0	0.0	0
level_2_hydro_4_level_3	0.0	0.0	0
peaks1_2_hydro_4_level_3	1.0	-1.0	-1
peaks2_2_hydro_4_level_3	0.0	0.0	0
prod_2_hydro_5	0.0	0.0	0
debit_2_hydro_5	0.0	0.0	0
debit_gradient_max2_hydro_5	-3.334	3.334	3.334
debit_gradient_min2_hydro_5	3333.3	-3333.3	-3333.3
level_2_hydro_5_level_0	0.0	0.0	0
peaks1_2_hydro_5_level_0	0.0	0.0	-1
peaks2_2_hydro_5_level_0	-1.0	1.0	0
level_2_hydro_5_level_1	0.0	0.0	0
peaks1_2_hydro_5_level_1	0.0	0.0	-1
peaks2_2_hydro_5_level_1	-1.0	1.0	0
level_2_hydro_5_level_2	-1.0	1.0	0
peaks1_2_hydro_5_level_2	1.0	-1.0	-1
peaks2_2_hydro_5_level_2	0.0	0.0	0
level_2_hydro_5_level_3	0.0	0.0	0
peaks1_2_hydro_5_level_3	1.0	-1.0	-1
peaks2_2_hydro_5_level_3	0.0	0.0	0
